id,description,dataType
2340855,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",Survey (FNDDS)
2340856,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",Survey (FNDDS)
2340857,"Hot chocolate / Cocoa, ready to drink, with whipped cream",Survey (FNDDS)
2340858,"Chocolate milk, made from dry mix with whole milk",Survey (FNDDS)
2340859,"Chocolate milk, made from dry mix with reduced fat milk",Survey (FNDDS)
2340860,"Chocolate milk, made from dry mix with fat free milk",Survey (FNDDS)
2340861,"Chocolate milk, made from dry mix with non-dairy milk",Survey (FNDDS)
2340862,"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)",Survey (FNDDS)
2340863,"Chocolate milk, made from dry mix with whole milk (Nesquik)",Survey (FNDDS)
2340864,"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)",Survey (FNDDS)
2340865,"Chocolate milk, made from dry mix with low fat milk (Nesquik)",Survey (FNDDS)
2340866,"Chocolate milk, made from dry mix with fat free milk (Nesquik)",Survey (FNDDS)
2340867,"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",Survey (FNDDS)
2340868,"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",Survey (FNDDS)
2340869,"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",Survey (FNDDS)
2340870,"Chocolate milk, made from syrup, NS as to type of milk",Survey (FNDDS)
2340871,"Chocolate milk, made from syrup with whole milk",Survey (FNDDS)
2340872,"Chocolate milk, made from syrup with reduced fat milk",Survey (FNDDS)
2340873,"Chocolate milk, made from syrup with low fat milk",Survey (FNDDS)
2340874,"Chocolate milk, made from syrup with fat free milk",Survey (FNDDS)
2340875,"Chocolate milk, made from syrup with non-dairy milk",Survey (FNDDS)
2340876,"Chocolate milk, made from light syrup with whole milk",Survey (FNDDS)
2340877,"Chocolate milk, made from light syrup with reduced fat milk",Survey (FNDDS)
2340878,"Chocolate milk, made from light syrup with low fat milk",Survey (FNDDS)
2340879,"Chocolate milk, made from light syrup with fat free milk",Survey (FNDDS)
2340880,"Chocolate milk, made from sugar free syrup with whole milk",Survey (FNDDS)
2340881,"Hot chocolate / Cocoa, made with dry mix and water",Survey (FNDDS)
2340882,"Hot chocolate / Cocoa, made with dry mix and whole milk",Survey (FNDDS)
2340883,"Hot chocolate / Cocoa, made with dry mix and reduced fat milk",Survey (FNDDS)
2340884,"Hot chocolate / Cocoa, made with dry mix and low fat milk",Survey (FNDDS)
2340885,"Hot chocolate / Cocoa, made with dry mix and fat free milk",Survey (FNDDS)
2340886,"Hot chocolate / Cocoa, made with dry mix and non-dairy milk",Survey (FNDDS)
2340887,"Hot chocolate / Cocoa, made with no sugar added dry mix and water",Survey (FNDDS)
2340888,"Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk",Survey (FNDDS)
2340889,"Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk",Survey (FNDDS)
2340890,"Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk",Survey (FNDDS)
2340891,"Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk",Survey (FNDDS)
2340892,"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk",Survey (FNDDS)
2340893,"Strawberry milk, NFS",Survey (FNDDS)
2340894,"Strawberry milk, whole",Survey (FNDDS)
2340895,"Strawberry milk, reduced fat",Survey (FNDDS)
2340896,"Strawberry milk, low fat",Survey (FNDDS)
2340897,"Strawberry milk, fat free",Survey (FNDDS)
2340898,"Strawberry milk, reduced sugar",Survey (FNDDS)
2340899,"Strawberry milk, non-dairy",Survey (FNDDS)
2340900,"Milk, malted",Survey (FNDDS)
2340901,Eggnog,Survey (FNDDS)
2340902,"Milk shake, home recipe, chocolate",Survey (FNDDS)
2340903,"Milk shake, home recipe, flavors other than chocolate",Survey (FNDDS)
2340904,"Milk shake, home recipe, chocolate, light",Survey (FNDDS)
2340905,"Milk shake, home recipe, flavors other than chocolate, light",Survey (FNDDS)
2340906,Milk shake with malt,Survey (FNDDS)
2340907,"Milk shake, fast food, chocolate",Survey (FNDDS)
2340908,"Milk shake, fast food, flavors other than chocolate",Survey (FNDDS)
2340909,"Milk shake, bottled, chocolate",Survey (FNDDS)
2340910,"Milk shake, bottled, flavors other than chocolate",Survey (FNDDS)
2340911,Licuado or Batido,Survey (FNDDS)
2340912,"Fruit smoothie, NFS",Survey (FNDDS)
2340913,"Fruit smoothie, with whole fruit and dairy",Survey (FNDDS)
2340914,"Fruit smoothie, with whole fruit and dairy, added protein",Survey (FNDDS)
2340915,"Fruit smoothie juice drink, with dairy",Survey (FNDDS)
2340916,Chocolate milk drink,Survey (FNDDS)
2340917,"Infant formula, NFS",Survey (FNDDS)
2340918,"Infant formula, Similac, NFS",Survey (FNDDS)
2340919,"Infant formula, Similac Alimentum, ready-to-feed",Survey (FNDDS)
2340920,"Infant formula, Similac Alimentum, powder, made with water",Survey (FNDDS)
2340921,"Infant formula, Similac Advance, ready-to-feed",Survey (FNDDS)
2340922,"Infant formula, Similac Advance, powder, made with tap water",Survey (FNDDS)
2340923,"Infant formula, Similac Advance, powder, made with bottled water",Survey (FNDDS)
2340924,"Infant formula, Similac Advance, powder, made with baby water",Survey (FNDDS)
2340925,"Infant formula, Similac Sensitive, ready-to-feed",Survey (FNDDS)
2340926,"Infant formula, Similac Sensitive, powder, made with tap water",Survey (FNDDS)
2340927,"Infant formula, Similac Sensitive, powder, made with bottled water",Survey (FNDDS)
2340928,"Infant formula, Similac Sensitive, powder, made with baby water",Survey (FNDDS)
2340929,"Infant formula, Similac for Spit-Up, ready-to-feed",Survey (FNDDS)
2340930,"Infant formula, Similac for Spit-Up, powder, made with water",Survey (FNDDS)
2340931,"Toddler formula, Similac Go and Grow",Survey (FNDDS)
2340932,"Infant formula, Enfamil, NFS",Survey (FNDDS)
2340933,"Infant formula, Enfamil Premium Newborn, ready-to-feed",Survey (FNDDS)
2340934,"Infant formula, Enfamil Premium Newborn, powder, made with water",Survey (FNDDS)
2340935,"Infant formula, Enfamil Infant, ready-to-feed",Survey (FNDDS)
2340936,"Infant formula, Enfamil Infant, powder, made with tap water",Survey (FNDDS)
2340937,"Infant formula, Enfamil Infant, powder, made with bottled water",Survey (FNDDS)
2340938,"Infant formula, Enfamil Infant, powder, made with baby water",Survey (FNDDS)
2340939,"Infant formula, Enfamil AR, ready-to-feed",Survey (FNDDS)
2340940,"Infant formula, Enfamil AR, powder, made with water",Survey (FNDDS)
